Epoch,Loss,F-Score,MCC
1,0.08271756,0.417077658,
2,0.053618472,0.480002728,
3,0.030307725,0.481418619,
4,0.022771344,0.574745193,
5,0.016743031,0.774402404,
6,0.014987548,0.837143695,
7,0.014560926,0.838117039,
8,0.013345137,0.849469876,
9,0.013121067,0.86097734,
10,0.012739312,0.856281465,
11,0.013803279,0.845472795,
12,0.014062492,0.85694195,
13,0.013931661,0.854869491,
14,0.012337641,0.847852349,
15,0.012501747,0.86569072,
16,0.01188313,0.873896557,
17,0.011997056,0.873549026,
18,0.011074029,0.874248505,
19,0.011634917,0.874885136,
20,0.011051334,0.881905872,
21,0.011605628,0.866743094,
22,0.012390269,0.872400182,
23,0.011171842,0.876461399,
24,0.01123595,0.87373749,
25,0.01102747,0.87365492,
26,0.010880953,0.880084217,
27,0.011046651,0.881766361,
28,0.010890008,0.880951184,
29,0.010559284,0.884438455,
30,0.010834566,0.879332912,
31,0.011231317,0.880267656,
32,0.011043637,0.876384091,
33,0.011379789,0.881509763,
34,0.010629922,0.880798006,
35,0.010954578,0.881821334,
36,0.01058228,0.884537011,
37,0.010473196,0.883167243,
38,0.010363984,0.886376774,
39,0.010201867,0.883068991,
40,0.010340139,0.884368473,
41,0.010690451,0.883948821,
42,0.010200226,0.884756732,
43,0.010230453,0.887194186,
44,0.010655514,0.885249096,
45,0.010366341,0.887686092,
46,0.010548398,0.885807425,
47,0.010537421,0.881624216,
48,0.01010065,0.884183687,
49,0.010541977,0.883704329,
50,0.0103592,0.882238364,
